id_gps,lat,long,date,date_time,year_month
AM717,36.967521,-3.46078,2023-07-01,2023-07-01T00:12:47Z,2023_07
AM717,36.967857,-3.460494,2023-07-01,2023-07-01T00:27:53Z,2023_07
AM717,36.967445,-3.460404,2023-07-01,2023-07-01T00:42:46Z,2023_07
AM717,36.967403,-3.460242,2023-07-01,2023-07-01T01:13:22Z,2023_07
AM717,36.967437,-3.460422,2023-07-01,2023-07-01T01:42:55Z,2023_07
AM717,36.967353,-3.460406,2023-07-01,2023-07-01T02:28:05Z,2023_07
AM717,36.967517,-3.460459,2023-07-01,2023-07-01T02:42:55Z,2023_07
AM717,36.967422,-3.460588,2023-07-01,2023-07-01T02:57:55Z,2023_07
AM717,36.967414,-3.460597,2023-07-01,2023-07-01T03:13:06Z,2023_07
AM717,36.967376,-3.460629,2023-07-01,2023-07-01T03:28:17Z,2023_07
AM717,36.967536,-3.460398,2023-07-01,2023-07-01T03:42:54Z,2023_07
AM717,36.96762,-3.460471,2023-07-01,2023-07-01T03:57:57Z,2023_07
AM717,36.967491,-3.460655,2023-07-01,2023-07-01T04:13:02Z,2023_07
AM717,36.967376,-3.460229,2023-07-01,2023-07-01T04:28:07Z,2023_07
AM717,36.967555,-3.460584,2023-07-01,2023-07-01T04:42:52Z,2023_07
AM717,36.967693,-3.460659,2023-07-01,2023-07-01T04:57:59Z,2023_07
AM717,36.967498,-3.460585,2023-07-01,2023-07-01T05:12:57Z,2023_07
AM717,36.967563,-3.460492,2023-07-01,2023-07-01T05:28:01Z,2023_07
AM717,36.967575,-3.460447,2023-07-01,2023-07-01T05:42:57Z,2023_07
AM717,36.967487,-3.460353,2023-07-01,2023-07-01T05:58:07Z,2023_07
AM717,36.96743,-3.460508,2023-07-01,2023-07-01T06:13:02Z,2023_07
AM717,36.967445,-3.46044,2023-07-01,2023-07-01T06:27:55Z,2023_07
AM717,36.967338,-3.460559,2023-07-01,2023-07-01T06:43:06Z,2023_07
AM717,36.967658,-3.460299,2023-07-01,2023-07-01T06:58:00Z,2023_07
AM717,36.967357,-3.460444,2023-07-01,2023-07-01T07:12:58Z,2023_07
AM717,36.967735,-3.460631,2023-07-01,2023-07-01T07:27:56Z,2023_07
AM717,36.967426,-3.460763,2023-07-01,2023-07-01T07:43:07Z,2023_07
AM717,36.967277,-3.460733,2023-07-01,2023-07-01T07:58:00Z,2023_07
AM717,36.967376,-3.460423,2023-07-01,2023-07-01T08:12:59Z,2023_07
AM717,36.967586,-3.46048,2023-07-01,2023-07-01T08:28:27Z,2023_07
AM717,36.967525,-3.460462,2023-07-01,2023-07-01T08:43:01Z,2023_07
AM717,36.967533,-3.460351,2023-07-01,2023-07-01T08:58:16Z,2023_07
AM717,36.967475,-3.460355,2023-07-01,2023-07-01T09:13:25Z,2023_07
AM717,36.967468,-3.460486,2023-07-01,2023-07-01T09:28:20Z,2023_07
AM717,36.96759,-3.460575,2023-07-01,2023-07-01T09:43:20Z,2023_07
AM717,36.96751,-3.460275,2023-07-01,2023-07-01T09:58:24Z,2023_07
